Borough,Latitude,Longitude
MANHATTAN,40.8022274,-73.95014369
QUEENS,40.73069038,-73.74331126
BRONX,40.82406681,-73.89310416
STATEN ISLAND,40.61614474,-74.13870285
MANHATTAN,40.7671072,-73.98378349
MANHATTAN,40.76930746,-73.95800609
BROOKLYN,40.6311741,-73.97624358
BROOKLYN,40.7075452,-73.93980871
BROOKLYN,,
QUEENS,40.74321462,-73.91562645
BRONX,40.83941097,-73.85853315
BROOKLYN,40.64724424,-74.0081081
BRONX,40.83349575,-73.85823857
QUEENS,40.57770484,-73.84494004
QUEENS,40.76063312,-73.80176762
BROOKLYN,40.66503947,-73.95096354
MANHATTAN,40.75326105,-74.00382229
MANHATTAN,40.73063338,-73.99996392
QUEENS,40.76256914,-73.83171277
BROOKLYN,40.68955227,-73.99244206
BRONX,40.86830763,-73.8634178
QUEENS,40.73343527,-73.86417054
MANHATTAN,40.74999459,-73.99212121
BRONX,40.87876464,-73.87278023
BROOKLYN,40.66318794,-73.98465581
BROOKLYN,40.68002534,-73.97450642
QUEENS,40.76681515,-73.92119577
MANHATTAN,40.75997365,-73.98406679
MANHATTAN,40.76407165,-73.9847914
QUEENS,40.77112298,-73.80143674
MANHATTAN,40.75458429,-73.9758675
MANHATTAN,40.74686842,-73.9936157
BRONX,40.82986147,-73.90637444
MANHATTAN,40.80294945,-73.96567488
MANHATTAN,40.73372389,-74.00443818
QUEENS,40.77613138,-73.91069963
MANHATTAN,40.73975143,-74.00252241
BROOKLYN,40.68346295,-73.87281391
MANHATTAN,40.79862232,-73.94161894
MANHATTAN,40.72977627,-73.98680892
MANHATTAN,40.75885484,-73.96424292
QUEENS,40.72736899,-73.85487443
BROOKLYN,40.68882152,-73.98567397
MANHATTAN,40.77637841,-73.95224274
BROOKLYN,40.59505983,-73.95462292
MANHATTAN,40.79338001,-73.97085872
QUEENS,40.6702684,-73.82095086
QUEENS,40.69610116,-73.81335524
QUEENS,40.76689488,-73.92139062
MANHATTAN,40.79232392,-73.97349193
BROOKLYN,40.65147968,-73.94963288
BROOKLYN,40.69992611,-73.94053688
MANHATTAN,40.76355724,-73.97776306
BROOKLYN,40.64104607,-73.98700662
QUEENS,40.72045799,-73.84459349
BROOKLYN,40.67426084,-73.97244652
BROOKLYN,40.64104607,-73.98700662
MANHATTAN,40.74342393,-73.99984843
MANHATTAN,40.76787002,-73.9823176
BROOKLYN,40.6468743,-73.91337712
QUEENS,40.75886092,-73.82980181
MANHATTAN,40.76244092,-73.98229377
MANHATTAN,40.76052471,-73.97997322
MANHATTAN,40.76431663,-73.96345663
BROOKLYN,40.6071047,-74.00237334
QUEENS,40.71430276,-73.77691448
QUEENS,40.73409317,-73.85021229
BROOKLYN,40.59021562,-73.97328772
MANHATTAN,40.7281765,-73.99125066
MANHATTAN,40.79846387,-73.96342344
MANHATTAN,40.76304093,-73.97626513
BROOKLYN,40.69324939,-73.97336544
QUEENS,40.73107577,-73.74258453
BROOKLYN,40.68054145,-73.97491002
BROOKLYN,40.6805673,-73.95246639
MANHATTAN,40.79048526,-73.97483609
STATEN ISLAND,40.62595694,-74.13445073
MANHATTAN,40.79084201,-73.9745651
BROOKLYN,40.64214743,-74.00262322
MANHATTAN,40.74826536,-74.00849574
BROOKLYN,40.67987442,-73.97471558
MANHATTAN,40.72885203,-73.99829341
BROOKLYN,40.72099783,-73.94087523
BROOKLYN,40.6071047,-74.00237334
BROOKLYN,40.71894075,-73.95653712
STATEN ISLAND,40.54464581,-74.14053338
QUEENS,40.75603468,-73.82852766
MANHATTAN,40.75658715,-73.97228253
MANHATTAN,40.73351258,-74.00348198
MANHATTAN,40.78014969,-73.98049811
BROOKLYN,40.66819071,-73.91036832
QUEENS,40.76306012,-73.91324767
QUEENS,40.76306012,-73.91324767
STATEN ISLAND,40.62595694,-74.13445073
QUEENS,40.71955303,-73.84316702
MANHATTAN,40.85742547,-73.93226957
BROOKLYN,40.61838507,-73.93224197
MANHATTAN,40.78372286,-73.97788993
MANHATTAN,40.7657348,-73.98360333
BRONX,40.81601143,-73.89651669
BROOKLYN,40.63124454,-74.02787077
BRONX,40.83196632,-73.90264946
MANHATTAN,40.72955151,-73.98990106
QUEENS,40.76454076,-73.90438693
BROOKLYN,40.68164227,-73.97571002
STATEN ISLAND,40.62595694,-74.13445073
STATEN ISLAND,40.57254938,-74.10768118
MANHATTAN,40.74067576,-73.98749601
BROOKLYN,40.69324106,-73.97297599
QUEENS,40.76801683,-73.92043622
MANHATTAN,40.74589657,-73.9906312
MANHATTAN,40.77912668,-73.9477454
BRONX,40.83136422,-73.89224686
MANHATTAN,40.74282781,-73.98919895
MANHATTAN,40.75215008,-73.97773077
QUEENS,40.781688,-73.82548984
QUEENS,40.76800166,-73.73799772
BROOKLYN,40.6468743,-73.91337712
QUEENS,40.74378043,-73.9240812
BROOKLYN,40.68949045,-73.92206963
MANHATTAN,40.76889103,-73.98209349
MANHATTAN,40.80672593,-73.94997055
